Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,SH_STA_STNT,,,,PT,A,0,2022,,26.0
2016,SH_STA_STNT,,,,PT,A,0,2022,,34.7
2022,SH_STA_STNT,,,,PT,A,0,2022,,17.6
2014,SH_STA_STNT,,,R,PT,A,0,2022,,29.1
2016,SH_STA_STNT,,,R,PT,A,0,2022,,36.7
2022,SH_STA_STNT,,,R,PT,A,0,2022,,20.3
2014,SH_STA_STNT,,,U,PT,A,0,2022,,19.8
2016,SH_STA_STNT,,,U,PT,A,0,2022,,25.2
2022,SH_STA_STNT,,,U,PT,A,0,2022,,12.1
2014,SH_STA_STNT,,F,,PT,A,0,2022,,22.3
2016,SH_STA_STNT,,F,,PT,A,0,2022,,31.5
2022,SH_STA_STNT,,F,,PT,A,0,2022,,15.6
2014,SH_STA_STNT,,M,,PT,A,0,2022,,29.7
2016,SH_STA_STNT,,M,,PT,A,0,2022,,37.9
2022,SH_STA_STNT,,M,,PT,A,0,2022,,19.6
