Year,SERIES,REF_AREA,SEX,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2019,SE_TOT_CPLR,,,,_L_KE_3,PT,A,0,2024,,31.3
2024,SE_TOT_CPLR,,,,_L_KE_3,PT,A,0,2024,,41.2
2019,SE_TOT_CPLR,,,,ISCED11A_1,PT,A,0,2024,,17.5
2024,SE_TOT_CPLR,,,,ISCED11A_1,PT,A,0,2024,,14.2
2019,SE_TOT_CPLR,,,R,_L_KE_3,PT,A,0,2024,,25.1
2024,SE_TOT_CPLR,,,R,_L_KE_3,PT,A,0,2024,,37.9
2019,SE_TOT_CPLR,,,R,ISCED11A_1,PT,A,0,2024,,18.0
2024,SE_TOT_CPLR,,,R,ISCED11A_1,PT,A,0,2024,,15.6
2019,SE_TOT_CPLR,,,U,_L_KE_3,PT,A,0,2024,,42.0
2024,SE_TOT_CPLR,,,U,_L_KE_3,PT,A,0,2024,,47.1
2019,SE_TOT_CPLR,,,U,ISCED11A_1,PT,A,0,2024,,16.1
2024,SE_TOT_CPLR,,,U,ISCED11A_1,PT,A,0,2024,,9.9
2019,SE_TOT_CPLR,,F,,_L_KE_3,PT,A,0,2024,,31.2
2024,SE_TOT_CPLR,,F,,_L_KE_3,PT,A,0,2024,,40.4
2019,SE_TOT_CPLR,,F,,ISCED11A_1,PT,A,0,2024,,17.4
2024,SE_TOT_CPLR,,F,,ISCED11A_1,PT,A,0,2024,,12.8
2019,SE_TOT_CPLR,,M,,_L_KE_3,PT,A,0,2024,,31.3
2024,SE_TOT_CPLR,,M,,_L_KE_3,PT,A,0,2024,,42.2
2019,SE_TOT_CPLR,,M,,ISCED11A_1,PT,A,0,2024,,17.6
2024,SE_TOT_CPLR,,M,,ISCED11A_1,PT,A,0,2024,,15.5
