Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,SE_PRE_PARTN,,,,PT,,71.8
2015,SE_PRE_PARTN,,,,PT,,74.6
2016,SE_PRE_PARTN,,,,PT,,74.9
2017,SE_PRE_PARTN,,,,PT,,76.9
2018,SE_PRE_PARTN,,,,PT,,77.2
2019,SE_PRE_PARTN,,,,PT,,73.8
2022,SE_PRE_PARTN,,,,PT,,87.9
2024,SE_PRE_PARTN,,,,PT,,87.6
2019,SE_PRE_PARTN,,,R,PT,,70.9
2024,SE_PRE_PARTN,,,R,PT,,86.0
2019,SE_PRE_PARTN,,,U,PT,,81.9
2024,SE_PRE_PARTN,,,U,PT,,91.3
2019,SE_PRE_PARTN,,F,,PT,,73.8
2022,SE_PRE_PARTN,,F,,PT,,88.8
2024,SE_PRE_PARTN,,F,,PT,,89.2
2019,SE_PRE_PARTN,,M,,PT,,73.9
2022,SE_PRE_PARTN,,M,,PT,,86.9
2024,SE_PRE_PARTN,,M,,PT,,86.2
