Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,OCCUPATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2017,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,2023,,33.9
2018,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,2023,,34.2
2019,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,2023,,33.6
2020,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,2023,,33.7
2021,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,2023,,33.6
2022,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,2023,,33.7
2023,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_03,PT,2023,,33.5
2014,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,0.0
2015,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,0.0
2016,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,0.0
2017,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,6.4
2018,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,6.4
2019,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,4.3
2020,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,6.4
2021,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,6.4
2022,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,14.9
2023,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_05,PT,2023,,14.9
2014,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,19.2
2015,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,19.2
2016,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,19.2
2017,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,14.9
2018,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,14.9
2019,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,17.4
2020,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,16.3
2021,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,16.3
2022,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,17.0
2023,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_LOCG,,F,_L_KE_ISCO08_1111_06,PT,2023,,17.0
2014,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,19.8
2015,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,19.8
2016,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,19.8
2017,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,21.5
2018,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,21.8
2019,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,21.8
2020,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,21.5
2021,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,21.5
2022,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,23.2
2023,A,0,Include both elected and nominated seats,Economic Survey,SG_GEN_PARL,,F,,PT,2023,,23.5
