Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,SH_FPL_INFMSR,,F,,,PT,A,0,2022,KDHS,,32.4
2022,SH_FPL_INFMSR,,F,,,PT,A,0,2022,KDHS,,64.8
2014,SH_FPL_INFMSR,,F,,R,PT,A,0,2022,KDHS,,29.5
2022,SH_FPL_INFMSR,,F,,R,PT,A,0,2022,KDHS,,59.4
2014,SH_FPL_INFMSR,,F,,U,PT,A,0,2022,KDHS,,37.0
2022,SH_FPL_INFMSR,,F,,U,PT,A,0,2022,KDHS,,73.2
2014,SH_FPL_INFMSR,,F,Y15T19,,PT,A,0,2022,KDHS,,15.9
2022,SH_FPL_INFMSR,,F,Y15T19,,PT,A,0,2022,KDHS,,49.3
2014,SH_FPL_INFMSR,,F,Y20T24,,PT,A,0,2022,KDHS,,26.2
2022,SH_FPL_INFMSR,,F,Y20T24,,PT,A,0,2022,KDHS,,58.9
2014,SH_FPL_INFMSR,,F,Y25T29,,PT,A,0,2022,KDHS,,33.0
2022,SH_FPL_INFMSR,,F,Y25T29,,PT,A,0,2022,KDHS,,67.5
2014,SH_FPL_INFMSR,,F,Y30T34,,PT,A,0,2022,KDHS,,37.8
2022,SH_FPL_INFMSR,,F,Y30T34,,PT,A,0,2022,KDHS,,65.4
2014,SH_FPL_INFMSR,,F,Y35T39,,PT,A,0,2022,KDHS,,37.3
2022,SH_FPL_INFMSR,,F,Y35T39,,PT,A,0,2022,KDHS,,64.8
2014,SH_FPL_INFMSR,,F,Y40T44,,PT,A,0,2022,KDHS,,35.2
2022,SH_FPL_INFMSR,,F,Y40T44,,PT,A,0,2022,KDHS,,68.0
2014,SH_FPL_INFMSR,,F,Y45T49,,PT,A,0,2022,KDHS,,25.2
2022,SH_FPL_INFMSR,,F,Y45T49,,PT,A,0,2022,KDHS,,65.9
