Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,IT_MOB_OWN,,,,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,33.0
2016,IT_MOB_OWN,,,,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,44.4
2019,IT_MOB_OWN,,,,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,47.3
2016,IT_MOB_OWN,,,R,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,36.3
2019,IT_MOB_OWN,,,R,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,40.5
2016,IT_MOB_OWN,,,U,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,58.7
2019,IT_MOB_OWN,,,U,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,62.6
2014,IT_MOB_OWN,,F,,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,30.2
2016,IT_MOB_OWN,,F,,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,43.2
2019,IT_MOB_OWN,,F,,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,47.0
2014,IT_MOB_OWN,,M,,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,35.7
2016,IT_MOB_OWN,,M,,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,45.5
2019,IT_MOB_OWN,,M,,PT,A,0,2019,"2010: ICT  Survey, 2016:  KIHBS, 2019: KPHC, , ,",,47.6
