Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,_L_KE_070101_01,,,PT,A,0,2019,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,36.0
2016,_L_KE_070101_01,,,PT,A,0,2019,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,41.5
2018,_L_KE_070101_01,,,PT,A,0,2019,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,46.0
2019,_L_KE_070101_01,,,PT,A,0,2019,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,50.4
2014,_L_KE_070101_01,,R,PT,A,0,2016,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,12.6
2016,_L_KE_070101_01,,R,PT,A,0,2016,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,17.4
2014,_L_KE_070101_01,,U,PT,A,0,2016,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,68.4
2016,_L_KE_070101_01,,U,PT,A,0,2016,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,73.4
2019,_L_KE_070101_02,,,PT,A,0,2019,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,69.8
2022,_L_KE_070101_03,,,PT,A,0,2022,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,49.6
2022,_L_KE_070101_03,,R,PT,A,0,2022,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,29.9
2022,_L_KE_070101_03,,U,PT,A,0,2022,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,88.6
2014,EG_ACS_ELEC,,,PT,A,0,2022,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,35.3
2016,EG_ACS_ELEC,,,PT,A,0,2022,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,33.8
2019,EG_ACS_ELEC,,,PT,A,0,2022,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,49.7
2022,EG_ACS_ELEC,,,PT,A,0,2022,2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,49.6
2014,EG_ACS_ELEC,,R,PT,A,0,Baseline Data          (2009-2014),2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,11.5
2014,EG_ACS_ELEC,,U,PT,A,0,Baseline Data          (2009-2014),2014: KDHS                 2016: KIHBS                 2018:                            2019: KPHC                 2020: KCHS                2021: KCHS                2022 KDHS,,69.7
