Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2016,FB_BNK_ACCSS,,,,,PT,,75.3
2018,FB_BNK_ACCSS,,,,,PT,,81.0
2019,FB_BNK_ACCSS,,,,,PT,,82.9
2021,FB_BNK_ACCSS,,,,,PT,,83.7
2024,FB_BNK_ACCSS,,,,,PT,,84.8
2016,FB_BNK_ACCSS,,,,R,PT,,69.0
2019,FB_BNK_ACCSS,,,,R,PT,,77.3
2021,FB_BNK_ACCSS,,,,R,PT,,79.2
2024,FB_BNK_ACCSS,,,,R,PT,,80.2
2016,FB_BNK_ACCSS,,,,U,PT,,86.3
2019,FB_BNK_ACCSS,,,,U,PT,,91.2
2021,FB_BNK_ACCSS,,,,U,PT,,91.7
2024,FB_BNK_ACCSS,,,,U,PT,,91.3
2016,FB_BNK_ACCSS,,F,,,PT,,71.2
2019,FB_BNK_ACCSS,,F,,,PT,,80.4
2021,FB_BNK_ACCSS,,F,,,PT,,81.7
2024,FB_BNK_ACCSS,,F,,,PT,,84.1
2016,FB_BNK_ACCSS,,M,,,PT,,79.7
2019,FB_BNK_ACCSS,,M,,,PT,,85.6
2021,FB_BNK_ACCSS,,M,,,PT,,85.9
2024,FB_BNK_ACCSS,,M,,,PT,,85.7
2016,FB_BNK_ACCSS,,,Y18T25,,PT,,69.4
2019,FB_BNK_ACCSS,,,Y18T25,,PT,,75.5
2021,FB_BNK_ACCSS,,,Y18T25,,PT,,71.8
2024,FB_BNK_ACCSS,,,Y18T25,,PT,,69.1
2016,FB_BNK_ACCSS,,,Y26T35,,PT,,82.5
2019,FB_BNK_ACCSS,,,Y26T35,,PT,,89.0
2021,FB_BNK_ACCSS,,,Y26T35,,PT,,90.8
2024,FB_BNK_ACCSS,,,Y26T35,,PT,,92.9
2016,FB_BNK_ACCSS,,,Y36T45,,PT,,81.5
2019,FB_BNK_ACCSS,,,Y36T45,,PT,,87.8
2021,FB_BNK_ACCSS,,,Y36T45,,PT,,91.1
2024,FB_BNK_ACCSS,,,Y36T45,,PT,,92.7
2016,FB_BNK_ACCSS,,,Y46T55,,PT,,78.2
2019,FB_BNK_ACCSS,,,Y46T55,,PT,,87.5
2021,FB_BNK_ACCSS,,,Y46T55,,PT,,89.9
2024,FB_BNK_ACCSS,,,Y46T55,,PT,,91.9
2016,FB_BNK_ACCSS,,,Y_GE56,,PT,,62.2
2019,FB_BNK_ACCSS,,,Y_GE56,,PT,,73.9
2021,FB_BNK_ACCSS,,,Y_GE56,,PT,,78.9
2024,FB_BNK_ACCSS,,,Y_GE56,,PT,,84.1
