Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,,PT,2022,,9.7
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,,PT,2022,,7.4
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,,PT,2022,,5.3
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,,PT,2022,,7.2
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,,PT,2022,,5.6
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,,PT,2022,,5.8
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,R,PT,2022,,2.6
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,R,PT,2022,,3.4
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,R,PT,2022,,2.9
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,R,PT,2022,,4.1
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,U,PT,2022,,7.7
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,U,PT,2022,,12.2
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,U,PT,2022,,9.3
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,,U,PT,2022,,8.7
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y15T19,,PT,2022,,17.3
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y15T19,,PT,2022,,14.9
