Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SL_TLF_CHLDEC,,,,,PT,A,0,,34.5
2016,SL_TLF_CHLDEC,,,,,PT,A,0,,13.1
2019,SL_TLF_CHLDEC,,,,,PT,A,0,,16.9
2020,SL_TLF_CHLDEC,,,,,PT,A,0,,13.9
2021,SL_TLF_CHLDEC,,,,,PT,A,0,,3.9
2022,SL_TLF_CHLDEC,,,,,PT,A,0,,3.1
2022,SL_TLF_CHLDEC,,,,R,PT,A,0,,3.3
2022,SL_TLF_CHLDEC,,,,U,PT,A,0,,2.5
2019,SL_TLF_CHLDEC,,,Y10T14,,PT,A,0,,20.1
2020,SL_TLF_CHLDEC,,,Y10T14,,PT,A,0,,15.3
2021,SL_TLF_CHLDEC,,,Y10T14,,PT,A,0,,4.2
2022,SL_TLF_CHLDEC,,,Y10T14,,PT,A,0,,1.8
2019,SL_TLF_CHLDEC,,,Y15T17,,PT,A,0,,24.1
2020,SL_TLF_CHLDEC,,,Y15T17,,PT,A,0,,28.1
2021,SL_TLF_CHLDEC,,,Y15T17,,PT,A,0,,7.2
2022,SL_TLF_CHLDEC,,,Y15T17,,PT,A,0,,9.4
2019,SL_TLF_CHLDEC,,,Y5T9,,PT,A,0,,9.9
2020,SL_TLF_CHLDEC,,,Y5T9,,PT,A,0,,4.9
2021,SL_TLF_CHLDEC,,,Y5T9,,PT,A,0,,1.8
2022,SL_TLF_CHLDEC,,,Y5T9,,PT,A,0,,1.0
2019,SL_TLF_CHLDEC,,F,,,PT,A,0,,15.1
2020,SL_TLF_CHLDEC,,F,,,PT,A,0,,11.7
2021,SL_TLF_CHLDEC,,F,,,PT,A,0,,2.9
2022,SL_TLF_CHLDEC,,F,,,PT,A,0,,2.6
2019,SL_TLF_CHLDEC,,M,,,PT,A,0,,26.0
2020,SL_TLF_CHLDEC,,M,,,PT,A,0,,16.2
2021,SL_TLF_CHLDEC,,M,,,PT,A,0,,4.8
2022,SL_TLF_CHLDEC,,M,,,PT,A,0,,3.6
2014,SL_TLF_CHLDECN,,,,,NUMBER,A,0,,4552.3
2016,SL_TLF_CHLDECN,,,,,NUMBER,A,0,,2074.3
2019,SL_TLF_CHLDECN,,,,,NUMBER,A,0,,2693.2
2020,SL_TLF_CHLDECN,,,,,NUMBER,A,0,,2276.8
2021,SL_TLF_CHLDECN,,,,,NUMBER,A,0,,640.5
2022,SL_TLF_CHLDECN,,,,,NUMBER,A,0,,517.4
2022,SL_TLF_CHLDECN,,,,R,NUMBER,A,0,,414.3
2022,SL_TLF_CHLDECN,,,,U,NUMBER,A,0,,103.1
2014,SL_TLF_CHLDECN,,F,,,NUMBER,A,0,,2200.6
2016,SL_TLF_CHLDECN,,F,,,NUMBER,A,0,,894.8
2019,SL_TLF_CHLDECN,,F,,,NUMBER,A,0,,1190.3
2020,SL_TLF_CHLDECN,,F,,,NUMBER,A,0,,945.0
2021,SL_TLF_CHLDECN,,F,,,NUMBER,A,0,,237.7
2022,SL_TLF_CHLDECN,,F,,,NUMBER,A,0,,216.1
2014,SL_TLF_CHLDECN,,M,,,NUMBER,A,0,,2351.7
2016,SL_TLF_CHLDECN,,M,,,NUMBER,A,0,,1179.5
2019,SL_TLF_CHLDECN,,M,,,NUMBER,A,0,,1503.0
2020,SL_TLF_CHLDECN,,M,,,NUMBER,A,0,,1331.7
2021,SL_TLF_CHLDECN,,M,,,NUMBER,A,0,,402.8
2022,SL_TLF_CHLDECN,,M,,,NUMBER,A,0,,301.3
