Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,COMMENT_OBS,GeoCode,Value
2014,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,8882.0
2015,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,8993.2
2016,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,9791.9
2017,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,10118.2
2018,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,11721.7
2019,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,12011.0
2020,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,4450.1
2021,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,6703.0
2022,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,10239.0
2023,A,3,Economic Survey,_L_KE_090102_01,,MOT_AIR,NUMBER,2023,,,12206.0
2014,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,1126.0
2015,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,5072.0
2016,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,2298.0
2017,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,2342.0
2018,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,3025.0
2019,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,3165.0
2020,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,1924.0
2021,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,930.0
2022,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,4731.0
2023,A,3,Economic Survey,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,2023,Data collected from Kenya seaward border points for foreigners,,3390.0
2014,A,3,Economic Survey,_L_KE_090102_01,,MOT_RAI,NUMBER,2023,,,3715.0
2015,A,3,Economic Survey,_L_KE_090102_01,,MOT_RAI,NUMBER,2023,,,2288.0
2016,A,3,Economic Survey,_L_KE_090102_01,,MOT_RAI,NUMBER,2023,,,2793.0
2017,A,3,Economic Survey,_L_KE_090102_01,,MOT_RAI,NUMBER,2023,,,3096.0
