Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,IT_MOB_2GNTWK,,PT,A,0,2023,Economic Survey,,91
2016,IT_MOB_2GNTWK,,PT,A,0,2023,Economic Survey,,95
2017,IT_MOB_2GNTWK,,PT,A,0,2023,Economic Survey,,95
2018,IT_MOB_2GNTWK,,PT,A,0,2023,Economic Survey,,95
2019,IT_MOB_2GNTWK,,PT,A,0,2023,Economic Survey,,96
2020,IT_MOB_2GNTWK,,PT,A,0,2023,Economic Survey,,96
2021,IT_MOB_2GNTWK,,PT,A,0,2023,Economic Survey,,96
2022,IT_MOB_2GNTWK,,PT,A,0,2023,Economic Survey,,96
2023,IT_MOB_2GNTWK,,PT,A,0,2023,Economic Survey,,97
2014,IT_MOB_3GNTWK,,PT,A,0,2023,Economic Survey,,61
2016,IT_MOB_3GNTWK,,PT,A,0,2023,Economic Survey,,78
2017,IT_MOB_3GNTWK,,PT,A,0,2023,Economic Survey,,85
2018,IT_MOB_3GNTWK,,PT,A,0,2023,Economic Survey,,86
2019,IT_MOB_3GNTWK,,PT,A,0,2023,Economic Survey,,93
2020,IT_MOB_3GNTWK,,PT,A,0,2023,Economic Survey,,94
2021,IT_MOB_3GNTWK,,PT,A,0,2023,Economic Survey,,95
2022,IT_MOB_3GNTWK,,PT,A,0,2023,Economic Survey,,98
2023,IT_MOB_3GNTWK,,PT,A,0,2023,Economic Survey,,98
2017,IT_MOB_4GNTWK,,PT,A,0,2023,Economic Survey,,25
2018,IT_MOB_4GNTWK,,PT,A,0,2023,Economic Survey,,35
2019,IT_MOB_4GNTWK,,PT,A,0,2023,Economic Survey,,57
2020,IT_MOB_4GNTWK,,PT,A,0,2023,Economic Survey,,77
2021,IT_MOB_4GNTWK,,PT,A,0,2023,Economic Survey,,94
2022,IT_MOB_4GNTWK,,PT,A,0,2023,Economic Survey,,97
2023,IT_MOB_4GNTWK,,PT,A,0,2023,Economic Survey,,98
