Year,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SD_MDP_CSMP,,,,PT,A,0,,45.0
2019,SD_MDP_CSMP,,,,PT,A,0,,47.7
2014,SD_MDP_CSMP,,,R,PT,A,0,,56.0
2019,SD_MDP_CSMP,,,R,PT,A,0,,56.7
2014,SD_MDP_CSMP,,,U,PT,A,0,,19.0
2019,SD_MDP_CSMP,,,U,PT,A,0,,22.1
2014,SD_MDP_MUHC,,,,PT,A,0,,38.9
2019,SD_MDP_MUHC,,,,PT,A,0,,50.8
2014,SD_MDP_MUHC,,,R,PT,A,0,,48.4
2019,SD_MDP_MUHC,,,R,PT,A,0,,61.9
2014,SD_MDP_MUHC,,,U,PT,A,0,,20.3
2019,SD_MDP_MUHC,,,U,PT,A,0,,25.8
2019,SD_MDP_MUHC,,Y_GE60,,PT,A,0,,51.0
2019,SD_MDP_MUHC,,Y0T17,,PT,A,0,,47.7
2019,SD_MDP_MUHC,,Y18T25,,PT,A,0,,53.7
2019,SD_MDP_MUHC,,Y18T34,,PT,A,0,,51.0
2019,SD_MDP_MUHC,,Y35T59,,PT,A,0,,57.9
