Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,SI_COV_BENFTS,,,PT,,4.5
2016,SI_COV_BENFTS,,,PT,,4.4
2017,SI_COV_BENFTS,,,PT,,4.2
2018,SI_COV_BENFTS,,,PT,,4.0
2019,SI_COV_BENFTS,,,PT,,3.3
2020,SI_COV_BENFTS,,,PT,,3.2
2021,SI_COV_BENFTS,,,PT,,2.9
2022,SI_COV_BENFTS,,,PT,,2.8
2015,SI_COV_DISAB,,,PT,,0.4
2016,SI_COV_DISAB,,,PT,,0.4
2017,SI_COV_DISAB,,,PT,,0.4
2018,SI_COV_DISAB,,,PT,,0.4
2019,SI_COV_DISAB,,,PT,,0.3
2020,SI_COV_DISAB,,,PT,,0.3
2021,SI_COV_DISAB,,,PT,,0.3
2022,SI_COV_DISAB,,,PT,,0.3
2018,SI_COV_PENSN,,,PT,,78.3
2019,SI_COV_PENSN,,,PT,,63.0
2020,SI_COV_PENSN,,,PT,,57.3
2021,SI_COV_PENSN,,,PT,,56.4
2022,SI_COV_PENSN,,,PT,,55.9
2024,SI_COV_PENSN,,,PT,,91.0
2018,SI_COV_PENSN,,F,PT,,87.3
2019,SI_COV_PENSN,,F,PT,,67.0
2020,SI_COV_PENSN,,F,PT,,68.4
2021,SI_COV_PENSN,,F,PT,,66.6
2022,SI_COV_PENSN,,F,PT,,65.1
2018,SI_COV_PENSN,,M,PT,,67.3
2019,SI_COV_PENSN,,M,PT,,57.7
2020,SI_COV_PENSN,,M,PT,,45.6
2021,SI_COV_PENSN,,M,PT,,45.3
2022,SI_COV_PENSN,,M,PT,,40.8
