Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Access to a handwashing station with soap and water at home,_L_KE_010401_01,,PT,2022,,16.6
2022,A,0,Access to a handwashing station with soap and water at home,_L_KE_010401_01,,PT,2022,,51.3
2014,A,0,,_L_KE_010401_03,,PT,2022,,11.9
2016,A,0,,_L_KE_010401_03,,PT,2022,,14.6
2018,A,0,,_L_KE_010401_03,,PT,2022,,19.8
2019,A,0,,_L_KE_010401_03,,PT,2022,,25.4
2020,A,0,,_L_KE_010401_03,,PT,2022,,23.1
2021,A,0,,_L_KE_010401_03,,PT,2022,,27.2
2022,A,0,,_L_KE_010401_03,,PT,2022,,21.2
2014,A,0,,SP_ACS_BSRVH2O,,PT,2022,,60.3
2022,A,0,,SP_ACS_BSRVH2O,,PT,2022,,67.9
2014,A,0,,SP_ACS_BSRVSAN,,PT,2022,,24.7
2022,A,0,,SP_ACS_BSRVSAN,,PT,2022,,40.9
