Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2015,FI_FSI_FSANL,,PT,A,0,2023,CBK,,6.0
2016,FI_FSI_FSANL,,PT,A,0,2023,CBK,,8.6
2017,FI_FSI_FSANL,,PT,A,0,2023,CBK,,9.9
2018,FI_FSI_FSANL,,PT,A,0,2023,CBK,,12.0
2019,FI_FSI_FSANL,,PT,A,0,2023,CBK,,12.0
2020,FI_FSI_FSANL,,PT,A,0,2023,CBK,,14.1
2021,FI_FSI_FSANL,,PT,A,0,2023,CBK,,13.1
2022,FI_FSI_FSANL,,PT,A,0,2023,CBK,,11.1
2023,FI_FSI_FSANL,,PT,A,0,2023,CBK,,12.3
2015,FI_FSI_FSERA,,PT,A,0,2023,CBK,,4.0
2016,FI_FSI_FSERA,,PT,A,0,2023,CBK,,3.8
2017,FI_FSI_FSERA,,PT,A,0,2023,CBK,,3.2
2018,FI_FSI_FSERA,,PT,A,0,2023,CBK,,3.4
2019,FI_FSI_FSERA,,PT,A,0,2023,CBK,,3.3
2020,FI_FSI_FSERA,,PT,A,0,2023,CBK,,2.1
2021,FI_FSI_FSERA,,PT,A,0,2023,CBK,,3.3
2022,FI_FSI_FSERA,,PT,A,0,2023,CBK,,3.7
2023,FI_FSI_FSERA,,PT,A,0,2023,CBK,,2.9
2015,FI_FSI_FSKA,,PT,A,0,2023,CBK,,12.4
2016,FI_FSI_FSKA,,PT,A,0,2023,CBK,,12.8
2017,FI_FSI_FSKA,,PT,A,0,2023,CBK,,11.5
2018,FI_FSI_FSKA,,PT,A,0,2023,CBK,,13.2
2019,FI_FSI_FSKA,,PT,A,0,2023,CBK,,12.8
2020,FI_FSI_FSKA,,PT,A,0,2023,CBK,,12.3
2021,FI_FSI_FSKA,,PT,A,0,2023,CBK,,12.1
2022,FI_FSI_FSKA,,PT,A,0,2023,CBK,,12.0
2023,FI_FSI_FSKA,,PT,A,0,2023,CBK,,10.4
2015,FI_FSI_FSKNL,,PT,A,0,2023,CBK,,12.4
2016,FI_FSI_FSKNL,,PT,A,0,2023,CBK,,17.8
2017,FI_FSI_FSKNL,,PT,A,0,2023,CBK,,27.1
2018,FI_FSI_FSKNL,,PT,A,0,2023,CBK,,21.2
2019,FI_FSI_FSKNL,,PT,A,0,2023,CBK,,21.3
2020,FI_FSI_FSKNL,,PT,A,0,2023,CBK,,21.6
2021,FI_FSI_FSKNL,,PT,A,0,2023,CBK,,18.4
2022,FI_FSI_FSKNL,,PT,A,0,2023,CBK,,23.9
2023,FI_FSI_FSKNL,,PT,A,0,2023,CBK,,25.7
2015,FI_FSI_FSKRTC,,PT,A,0,2023,CBK,,18.2
2016,FI_FSI_FSKRTC,,PT,A,0,2023,CBK,,16.9
2017,FI_FSI_FSKRTC,,PT,A,0,2023,CBK,,14.7
2018,FI_FSI_FSKRTC,,PT,A,0,2023,CBK,,17.2
2019,FI_FSI_FSKRTC,,PT,A,0,2023,CBK,,16.8
2020,FI_FSI_FSKRTC,,PT,A,0,2023,CBK,,16.7
2021,FI_FSI_FSKRTC,,PT,A,0,2023,CBK,,16.7
2022,FI_FSI_FSKRTC,,PT,A,0,2023,CBK,,19.0
2023,FI_FSI_FSKRTC,,PT,A,0,2023,CBK,,18.3
2015,FI_FSI_FSSNO,,PT,A,0,2022,CBK,,2.7
2016,FI_FSI_FSSNO,,PT,A,0,2022,CBK,,6.7
2017,FI_FSI_FSSNO,,PT,A,0,2022,CBK,,2.4
2018,FI_FSI_FSSNO,,PT,A,0,2022,CBK,,3.2
2019,FI_FSI_FSSNO,,PT,A,0,2022,CBK,,-0.3
2020,FI_FSI_FSSNO,,PT,A,0,2022,CBK,,-0.0
2021,FI_FSI_FSSNO,,PT,A,0,2022,CBK,,-1.0
2022,FI_FSI_FSSNO,,PT,A,0,2022,CBK,,-1.6
