Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,GeoCode,Value
2014,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,274.6
2015,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,296.6
2016,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,338.8
2017,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,284.8
2018,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,310.9
2019,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,306.6
2020,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,299.0
2021,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,136.8
2022,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,339.7
2023,GB_XPD_CULNAT_PBPV,,KES,A,0,2023,"Refers to Public Expenditure on Recreation, Culture and Religion",,430.3
