Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2017,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,KE_KIS,30.0
2018,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,KE_KIS,30.0
2019,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,KE_KIS,30.0
2020,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,KE_KIS,30.0
2021,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,KE_KIS,30.0
2022,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,KE_KIS,30.1
2023,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,KE_KIS,30.0
2017,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,KE_MBA,25.1
2018,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,KE_MBA,56.0
2019,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,KE_MBA,46.1
2020,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,KE_MBA,46.0
2021,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,KE_MBA,56.5
2022,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,KE_MBA,65.0
2023,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,KE_MBA,58.3
2014,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,KE_NBO,44.0
2016,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,KE_NBO,56.6
2017,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,KE_NBO,53.6
2018,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,KE_NBO,57.4
2019,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,KE_NBO,75.2
2020,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,KE_NBO,75.2
2021,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,KE_NBO,76.7
2022,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,KE_NBO,74.3
2023,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,KE_NBO,86.0
2022,A,0,Nakuru Coutny,EN_REF_WASCOL,KE_NUU,CITY,PT,2023,KE_NUU,60.0
2023,A,0,Nakuru Coutny,EN_REF_WASCOL,KE_NUU,CITY,PT,2023,KE_NUU,60.0
