Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2020,_L_KE_161001_01,,NUMBER,,105
2021,_L_KE_161001_01,,NUMBER,,54
2022,_L_KE_161001_01,,NUMBER,,18
2023,_L_KE_161001_01,,NUMBER,,64
2024,_L_KE_161001_01,,NUMBER,,68
2020,VC_VAW_MTUHRA,,NUMBER,,1
2021,VC_VAW_MTUHRA,,NUMBER,,4
2022,VC_VAW_MTUHRA,,NUMBER,,3
2023,VC_VAW_MTUHRA,,NUMBER,,9
2024,VC_VAW_MTUHRA,,NUMBER,,4
2020,_L_KE_161001_02,,NUMBER,,0
2021,_L_KE_161001_02,,NUMBER,,0
2022,_L_KE_161001_02,,NUMBER,,0
2023,_L_KE_161001_02,,NUMBER,,0
2024,_L_KE_161001_02,,NUMBER,,6
2020,VC_VOC_ENFDIS,,NUMBER,,2
2021,VC_VOC_ENFDIS,,NUMBER,,0
2022,VC_VOC_ENFDIS,,NUMBER,,0
2023,VC_VOC_ENFDIS,,NUMBER,,1
2024,VC_VOC_ENFDIS,,NUMBER,,2
2020,_L_KE_161001_03,,NUMBER,,96
2021,_L_KE_161001_03,,NUMBER,,36
2022,_L_KE_161001_03,,NUMBER,,12
2023,_L_KE_161001_03,,NUMBER,,5
2024,_L_KE_161001_03,,NUMBER,,25
2020,_L_KE_161001_04,,NUMBER,,0
2021,_L_KE_161001_04,,NUMBER,,0
2022,_L_KE_161001_04,,NUMBER,,0
2023,_L_KE_161001_04,,NUMBER,,1
2024,_L_KE_161001_04,,NUMBER,,17
2020,_L_KE_161001_05,,NUMBER,,6
2021,_L_KE_161001_05,,NUMBER,,14
2022,_L_KE_161001_05,,NUMBER,,3
2023,_L_KE_161001_05,,NUMBER,,48
2024,_L_KE_161001_05,,NUMBER,,14
