Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,VC_PRS_UNSNT,,,PT,A,0,,56.3
2015,VC_PRS_UNSNT,,,PT,A,0,,60.3
2016,VC_PRS_UNSNT,,,PT,A,0,,60.8
2017,VC_PRS_UNSNT,,,PT,A,0,,61.4
2018,VC_PRS_UNSNT,,,PT,A,0,,62.5
2019,VC_PRS_UNSNT,,,PT,A,0,,64.7
2020,VC_PRS_UNSNT,,,PT,A,0,,66.0
2021,VC_PRS_UNSNT,,,PT,A,0,,59.2
2022,VC_PRS_UNSNT,,,PT,A,0,,60.8
2023,VC_PRS_UNSNT,,,PT,A,0,,67.7
2024,VC_PRS_UNSNT,,,PT,A,0,,71.0
2014,VC_PRS_UNSNT,,F,PT,A,0,,57.6
2015,VC_PRS_UNSNT,,F,PT,A,0,,49.9
2016,VC_PRS_UNSNT,,F,PT,A,0,,47.6
2017,VC_PRS_UNSNT,,F,PT,A,0,,56.1
2018,VC_PRS_UNSNT,,F,PT,A,0,,53.4
2019,VC_PRS_UNSNT,,F,PT,A,0,,55.8
2020,VC_PRS_UNSNT,,F,PT,A,0,,53.1
2021,VC_PRS_UNSNT,,F,PT,A,0,,43.7
2022,VC_PRS_UNSNT,,F,PT,A,0,,62.1
2023,VC_PRS_UNSNT,,F,PT,A,0,,68.8
2024,VC_PRS_UNSNT,,F,PT,A,0,,72.0
2014,VC_PRS_UNSNT,,M,PT,A,0,,56.2
2015,VC_PRS_UNSNT,,M,PT,A,0,,61.6
2016,VC_PRS_UNSNT,,M,PT,A,0,,62.2
2017,VC_PRS_UNSNT,,M,PT,A,0,,61.9
2018,VC_PRS_UNSNT,,M,PT,A,0,,63.5
2019,VC_PRS_UNSNT,,M,PT,A,0,,65.7
2020,VC_PRS_UNSNT,,M,PT,A,0,,67.3
2021,VC_PRS_UNSNT,,M,PT,A,0,,60.7
2022,VC_PRS_UNSNT,,M,PT,A,0,,49.3
2023,VC_PRS_UNSNT,,M,PT,A,0,,55.4
2024,VC_PRS_UNSNT,,M,PT,A,0,,62.0
