Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,AGE,OCCUPATION,DISABILITY_STATUS,UNIT_MEASURE,Value
2014,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,26.9
2015,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,26.9
2016,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,26.9
2017,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,31.3
2018,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,31.3
2019,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,31.3
2020,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,31.3
2021,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,32.8
2022,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,31.3
2023,Include both elected and nominated seats,Economic Survey,SG_DMK_PARLMP_UC,,,,PT,31.3
2019,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_01,,,,RO,0.61
2020,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_01,,,,RO,0.6157
2021,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_01,,,,RO,0.6161
2022,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_01,,,,RO,0.614
2023,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_01,,,,RO,0.6132
2020,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_03,,,,RO,0.622
2021,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_03,,,,RO,0.6521
2022,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_03,,,,RO,0.6229
2023,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_03,,,,RO,0.6228
2020,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_04,,,,RO,0.4264
2021,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_04,,,,RO,0.4268
2022,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_04,,,,RO,0.4613
2023,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_04,,,,RO,0.4669
2020,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_05,,,,RO,0.6687
2021,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_05,,,,RO,0.6835
2022,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_05,,,,RO,0.6612
2023,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_05,,,,RO,0.6611
2020,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_06,,,,RO,0.162
2021,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_06,,,,RO,0.1621
2022,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_06,,,,RO,0.0406
2023,,Parliamentary Service Commision; Council of Governors,_L_KE_160701_06,,,,RO,0.0406
