Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2016,A,0,_L_KE_170101_01,,PT,2023,,,,16.2
2017,A,0,_L_KE_170101_01,,PT,2023,,,,15.9
2018,A,0,_L_KE_170101_01,,PT,2023,,,,15.1
2019,A,0,_L_KE_170101_01,,PT,2023,,,,15.1
2020,A,0,_L_KE_170101_01,,PT,2023,,,,14.3
2021,A,0,_L_KE_170101_01,,PT,2023,,,,13.6
2022,A,0,_L_KE_170101_01,,PT,2023,,,,14.6
2023,A,0,_L_KE_170101_01,,PT,2023,,,,13.6
2016,A,0,_L_KE_170101_02,,PT,2023,,,,0.0
2017,A,0,_L_KE_170101_02,,PT,2023,,,,0.0
2018,A,0,_L_KE_170101_02,,PT,2023,,,,0.0
2019,A,0,_L_KE_170101_02,,PT,2023,,,,0.0
2020,A,0,_L_KE_170101_02,,PT,2023,,,,0.0
2021,A,0,_L_KE_170101_02,,PT,2023,,,,0.0
2022,A,0,_L_KE_170101_02,,PT,2023,,,,0.0
2023,A,0,_L_KE_170101_02,,PT,2023,,,,0.0
2016,A,0,_L_KE_170101_03,,PT,2023,,,,0.4
2017,A,0,_L_KE_170101_03,,PT,2023,,,,0.3
2018,A,0,_L_KE_170101_03,,PT,2023,,,,0.3
2019,A,0,_L_KE_170101_03,,PT,2023,,,,0.5
2020,A,0,_L_KE_170101_03,,PT,2023,,,,0.2
2021,A,0,_L_KE_170101_03,,PT,2023,,,,0.3
2022,A,0,_L_KE_170101_03,,PT,2023,,,,0.2
2023,A,0,_L_KE_170101_03,,PT,2023,,,,0.2
2016,A,0,_L_KE_170101_04,,PT,2023,,,,0.2
2017,A,0,_L_KE_170101_04,,PT,2023,,,,1.1
2018,A,0,_L_KE_170101_04,,PT,2023,,,,1.2
2019,A,0,_L_KE_170101_04,,PT,2023,,,,1.6
2020,A,0,_L_KE_170101_04,,PT,2023,,,,2.5
2021,A,0,_L_KE_170101_04,,PT,2023,,,,1.4
2022,A,0,_L_KE_170101_04,,PT,2023,,,,1.7
2023,A,0,_L_KE_170101_04,,PT,2023,,,,1.6
2014,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,16.7
2015,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,16.6
2016,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,16.9
2017,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,17.3
2018,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,16.6
2019,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,17.1
2020,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,17.0
2021,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,15.3
2022,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,16.5
2023,A,0,GR_G14_GDP,,PT,2023,Total national revenue ( Including grants. GDP used is at market price.,Economic Survey,,15.4
