Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,GeoCode,Value
2014,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,2.3
2015,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,2.4
2016,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,2.5
2017,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,2.4
2018,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,3.0
2019,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,2.8
2020,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,3.1
2021,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,3.4
2022,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,3.6
2023,_L_KE_171301_01,,PT,A,0,2023,Economic Survey,,,3.9
2014,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,15.2
2015,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,6.8
2016,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,9.0
2017,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,12.3
2018,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,19.8
2019,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,39.9
2020,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,24.9
2021,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,23.2
2022,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,24.7
2023,_L_KE_171301_02,,PT,A,0,2023,"Treasury, Economic Survey","Include debt service of IMF(repayments, repurchases and charges)",,31.1
2014,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,87.9
2015,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,98.7
2016,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,101.5
2017,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,103.4
2018,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,101.3
2019,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,102.1
2020,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,106.6
2021,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,109.9
2022,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,117.9
2023,_L_KE_171301_03,,KES_TO_USD,A,0,2023,CBK,End Period Annual Average,,139.9
2014,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,73.1
2015,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,76.0
2016,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,78.8
2017,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,75.5
2018,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,68.0
2019,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,68.0
2020,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,74.9
2021,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,73.3
2022,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,75.3
2023,_L_KE_171301_04,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,71.4
2015,_L_KE_171301_05,,PT,A,0,2023,Economic Survey,,,6.8
2016,_L_KE_171301_05,,PT,A,0,2023,Economic Survey,,,9.1
2017,_L_KE_171301_05,,PT,A,0,2023,Economic Survey,,,10.6
2018,_L_KE_171301_05,,PT,A,0,2023,Economic Survey,,,12.0
2019,_L_KE_171301_05,,PT,A,0,2023,Economic Survey,,,12.0
2020,_L_KE_171301_05,,PT,A,0,2023,Economic Survey,,,11.5
2021,_L_KE_171301_05,,PT,A,0,2023,Economic Survey,,,14.3
2022,_L_KE_171301_05,,PT,A,0,2023,Economic Survey,,,13.8
2023,_L_KE_171301_05,,PT,A,0,2023,Economic Survey,,,12.3
2014,_L_KE_171301_06,,PT,A,0,2023,Economic Survey,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,,-5.1
2015,_L_KE_171301_06,,PT,A,0,2023,Economic Survey,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,,-7.8
2016,_L_KE_171301_06,,PT,A,0,2023,Economic Survey,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,,-6.4
2017,_L_KE_171301_06,,PT,A,0,2023,Economic Survey,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,,-6.8
2018,_L_KE_171301_06,,PT,A,0,2023,Economic Survey,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,,-7.1
2019,_L_KE_171301_06,,PT,A,0,2023,Economic Survey,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,,-7.1
