Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,2.3
2015,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,2.5
2016,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,2.3
2017,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,2.4
2018,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,3.0
2019,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,2.8
2020,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,3.1
2021,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,3.4
2022,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,3.5
2023,A,0,Balance of payments,Economic Survey,BX_TRF_PWKR,,PT,2023,,3.9
