Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,10.3
2015,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,6.2
2016,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,8.4
2017,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,11.4
2018,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,18.9
2019,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,34.5
2020,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,25.2
2021,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,17.9
2022,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,21.1
2023,DT_TDS_DECT,,PT,A,0,2023,Annual External debt service,Economic Survey,,26.0
