Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,IT_USE_II99,,,,,PT,A,0,2023,,6.3
2016,IT_USE_II99,,,,,PT,A,0,2023,,16.6
2019,IT_USE_II99,,,,,PT,A,0,2023,,22.7
2023,IT_USE_II99,,,,,PT,A,0,2023,,35.0
2019,IT_USE_II99,,,,R,PT,A,0,2023,,13.8
2023,IT_USE_II99,,,,R,PT,A,0,2023,,25.0
2019,IT_USE_II99,,,,U,PT,A,0,2023,,42.6
2023,IT_USE_II99,,,,U,PT,A,0,2023,,56.6
2019,IT_USE_II99,,,Y_GE75,,PT,A,0,2023,,4.2
2023,IT_USE_II99,,,Y_GE75,,PT,A,0,2023,,6.9
2019,IT_USE_II99,,,Y10T14,,PT,A,0,2023,,4.0
2023,IT_USE_II99,,,Y10T14,,PT,A,0,2023,,11.1
2019,IT_USE_II99,,,Y15T19,,PT,A,0,2023,,18.9
2023,IT_USE_II99,,,Y15T19,,PT,A,0,2023,,30.6
2019,IT_USE_II99,,,Y20T24,,PT,A,0,2023,,48.2
2023,IT_USE_II99,,,Y20T24,,PT,A,0,2023,,64.0
2019,IT_USE_II99,,,Y25T29,,PT,A,0,2023,,47.9
2023,IT_USE_II99,,,Y25T29,,PT,A,0,2023,,61.8
2019,IT_USE_II99,,,Y30T34,,PT,A,0,2023,,41.0
2023,IT_USE_II99,,,Y30T34,,PT,A,0,2023,,56.2
2019,IT_USE_II99,,,Y35T39,,PT,A,0,2023,,37.9
2023,IT_USE_II99,,,Y35T39,,PT,A,0,2023,,48.1
2019,IT_USE_II99,,,Y3T4,,PT,A,0,2023,,2.1
2023,IT_USE_II99,,,Y3T4,,PT,A,0,2023,,6.2
2019,IT_USE_II99,,,Y40T44,,PT,A,0,2023,,32.4
2023,IT_USE_II99,,,Y40T44,,PT,A,0,2023,,46.0
2019,IT_USE_II99,,,Y45T49,,PT,A,0,2023,,28.8
2023,IT_USE_II99,,,Y45T49,,PT,A,0,2023,,41.8
2019,IT_USE_II99,,,Y50T54,,PT,A,0,2023,,26.1
2023,IT_USE_II99,,,Y50T54,,PT,A,0,2023,,38.5
2019,IT_USE_II99,,,Y55T59,,PT,A,0,2023,,20.8
2023,IT_USE_II99,,,Y55T59,,PT,A,0,2023,,35.0
2019,IT_USE_II99,,,Y5T9,,PT,A,0,2023,,2.7
2023,IT_USE_II99,,,Y5T9,,PT,A,0,2023,,8.9
2019,IT_USE_II99,,,Y60T64,,PT,A,0,2023,,15.1
2023,IT_USE_II99,,,Y60T64,,PT,A,0,2023,,26.0
2019,IT_USE_II99,,,Y65T69,,PT,A,0,2023,,10.6
2023,IT_USE_II99,,,Y65T69,,PT,A,0,2023,,20.4
2019,IT_USE_II99,,,Y70T74,,PT,A,0,2023,,7.6
2023,IT_USE_II99,,,Y70T74,,PT,A,0,2023,,12.4
2019,IT_USE_II99,,F,,,PT,A,0,2023,,20.2
2023,IT_USE_II99,,F,,,PT,A,0,2023,,32.2
2019,IT_USE_II99,,M,,,PT,A,0,2023,,25.2
2023,IT_USE_II99,,M,,,PT,A,0,2023,,37.8
