Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2016,SN_ITK_DEFC,,,PT,A,0,2022,"2016:  KIHBS, 2019-21: KCHS",,24.2
2019,SN_ITK_DEFC,,,PT,A,0,2022,"2016:  KIHBS, 2019-21: KCHS",,30.5
2020,SN_ITK_DEFC,,,PT,A,0,2022,"2016:  KIHBS, 2019-21: KCHS",,34.4
2021,SN_ITK_DEFC,,,PT,A,0,2022,"2016:  KIHBS, 2019-21: KCHS",,30.5
2022,SN_ITK_DEFC,,,PT,A,0,2022,"2016:  KIHBS, 2019-21: KCHS",,31.7
2019,SN_ITK_DEFC,,R,PT,A,0,2022,"2016:  KIHBS , 2019-21: KCHS",,34.0
2020,SN_ITK_DEFC,,R,PT,A,0,2022,"2016:  KIHBS , 2019-21: KCHS",,35.1
2021,SN_ITK_DEFC,,R,PT,A,0,2022,"2016:  KIHBS , 2019-21: KCHS",,32.2
2022,SN_ITK_DEFC,,R,PT,A,0,2022,"2016:  KIHBS , 2019-21: KCHS",,33.2
2019,SN_ITK_DEFC,,U,PT,A,0,2022,"2016:  KIHBS , 2019-21: KCHS",,22.5
2020,SN_ITK_DEFC,,U,PT,A,0,2022,"2016:  KIHBS , 2019-21: KCHS",,33.0
2021,SN_ITK_DEFC,,U,PT,A,0,2022,"2016:  KIHBS , 2019-21: KCHS",,26.8
2022,SN_ITK_DEFC,,U,PT,A,0,2022,"2016:  KIHBS , 2019-21: KCHS",,28.6
