Year,SERIES,URBANISATION,Value
2016,AG_PRD_FIESMS,,56.5
2020,AG_PRD_FIESMS,,60.3
2021,AG_PRD_FIESMS,,57.5
2022,AG_PRD_FIESMS,,62.4
2016,AG_PRD_FIESS,,19.1
2020,AG_PRD_FIESS,,17.0
2021,AG_PRD_FIESS,,19.7
2022,AG_PRD_FIESS,,30.5
2016,AG_PRD_FIESMS,R,58.5
2020,AG_PRD_FIESMS,R,60.0
2021,AG_PRD_FIESMS,R,61.7
2022,AG_PRD_FIESMS,R,63.4
2016,AG_PRD_FIESMS,U,44.2
2020,AG_PRD_FIESMS,U,60.5
2021,AG_PRD_FIESMS,U,48.5
2022,AG_PRD_FIESMS,U,52.2
2016,AG_PRD_FIESS,R,21.5
2020,AG_PRD_FIESS,R,18.0
2021,AG_PRD_FIESS,R,21.3
2022,AG_PRD_FIESS,R,33.9
2016,AG_PRD_FIESS,U,13.0
2020,AG_PRD_FIESS,U,15.9
2021,AG_PRD_FIESS,U,16.2
2022,AG_PRD_FIESS,U,22.0
