Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,SH_STA_STNT,,,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,26.0
2016,SH_STA_STNT,,,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,34.7
2022,SH_STA_STNT,,,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,17.6
2014,SH_STA_STNT,,,R,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,29.1
2016,SH_STA_STNT,,,R,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,36.7
2022,SH_STA_STNT,,,R,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,20.3
2014,SH_STA_STNT,,,U,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,19.8
2016,SH_STA_STNT,,,U,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,25.2
2022,SH_STA_STNT,,,U,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,12.1
2014,SH_STA_STNT,,F,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,22.3
2016,SH_STA_STNT,,F,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,31.5
2022,SH_STA_STNT,,F,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,15.6
2014,SH_STA_STNT,,M,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,29.7
2016,SH_STA_STNT,,M,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,37.9
2022,SH_STA_STNT,,M,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,19.6
