Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,SH_STA_WAST,,,,PT,,4.0
2016,SH_STA_WAST,,,,PT,,6.3
2022,SH_STA_WAST,,,,PT,,4.9
2014,SH_STA_WAST,,,R,PT,,4.4
2016,SH_STA_WAST,,,R,PT,,6.5
2022,SH_STA_WAST,,,R,PT,,5.3
2014,SH_STA_WAST,,,U,PT,,3.4
2016,SH_STA_WAST,,,U,PT,,5.1
2022,SH_STA_WAST,,,U,PT,,4.0
2014,SH_STA_WAST,,F,,PT,,3.7
2016,SH_STA_WAST,,F,,PT,,5.8
2022,SH_STA_WAST,,F,,PT,,4.3
2014,SH_STA_WAST,,M,,PT,,4.4
2016,SH_STA_WAST,,M,,PT,,6.7
2022,SH_STA_WAST,,M,,PT,,5.4
2014,SN_STA_OVWGT,,,,PT,,22.7
2016,SN_STA_OVWGT,,,,PT,,4.9
2022,SN_STA_OVWGT,,,,PT,,3.2
2014,SN_STA_OVWGT,,,R,PT,,18.8
2022,SN_STA_OVWGT,,,R,PT,,2.8
2014,SN_STA_OVWGT,,,U,PT,,28.6
2022,SN_STA_OVWGT,,,U,PT,,4.0
2014,SN_STA_OVWGT,,F,,PT,,3.5
2016,SN_STA_OVWGT,,F,,PT,,6.5
2022,SN_STA_OVWGT,,F,,PT,,3.6
2014,SN_STA_OVWGT,,M,,PT,,4.7
2016,SN_STA_OVWGT,,M,,PT,,4.7
2022,SN_STA_OVWGT,,M,,PT,,2.9
