Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.09
2015,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.1
2016,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.1
2017,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.1
2018,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.090653
2019,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.10233
2020,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.109037
2021,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.10406
2022,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.116837
2023,A,0,Economic Survey,AG_PRD_ORTIND,,IX,2023,,0.149006
