Year,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,SH_STA_MORT,,,,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,362
2019,SH_STA_MORT,,,,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,355
2019,SH_STA_MORT,,,R,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,374
2019,SH_STA_MORT,,,U,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,317
2019,SH_STA_MORT,,Y15T19,,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,464
2019,SH_STA_MORT,,Y20T24,,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,275
2019,SH_STA_MORT,,Y25T29,,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,287
2019,SH_STA_MORT,,Y30T34,,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,345
2019,SH_STA_MORT,,Y35T39,,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,436
2019,SH_STA_MORT,,Y40T44,,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,786
2019,SH_STA_MORT,,Y45T49,,PER_100000_LIVE_BIRTHS,A,0,2019,"Deaths due to maternal deaths (complications from pregnancy or childbirth) per 100,000 live births",2014: KDHS              2019: KPHC,,2219
