Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,,,PT,2022,,61.8
2016,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,,,PT,2022,,70.2
2022,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,,,PT,2022,,89.3
2014,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,,R,PT,2022,,50.4
2016,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,,R,PT,2022,,61.1
2022,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,,R,PT,2022,,84.8
2014,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,,U,PT,2022,,82.4
2016,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,,U,PT,2022,,87.5
2022,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,,U,PT,2022,,97.3
2014,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,Y15T19,,PT,2022,,62.1
2016,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,Y15T19,,PT,2022,,76.2
2022,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,Y15T19,,PT,2022,,88.1
2014,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,Y20T34,,PT,2022,,63.1
2016,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,Y20T34,,PT,2022,,72.6
2022,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,Y20T34,,PT,2022,,90.2
2014,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,Y35T49,,PT,2022,,53.9
2016,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,Y35T49,,PT,2022,,63.2
2022,A,0,"2014: KDHS              2016: KIHBS, 2022: KDHS",SH_STA_BRTC,,Y35T49,,PT,2022,,85.2
