Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_DTP3,,PT,2022,,74.9
2015,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_DTP3,,PT,2022,,79.5
2016,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_DTP3,,PT,2022,,78.3
2017,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_DTP3,,PT,2022,,68.4
2018,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_DTP3,,PT,2022,,81.6
2022,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_DTP3,,PT,2022,,89.2
2022,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_MCV2,,PT,2022,,66.8
2022,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_PCV3,,PT,2022,,91.2
2014,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_VACN,,PT,2022,,79.4
2022,A,0,"2014: KDHS, 2022: KDHS",SH_ACS_VACN,,PT,2022,,80.1
