Year,SERIES,REF_AREA,SEX,URBANISATION,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2015,SE_TOT_PRFL,,,,_L_KE_1,SKILL_MATH,PT,A,0,,47.1
2017,SE_TOT_PRFL,,,,_L_KE_1,SKILL_MATH,PT,A,0,,71.1
2018,SE_TOT_PRFL,,,,_L_KE_1,SKILL_MATH,PT,A,0,,67.0
2019,SE_TOT_PRFL,,,,_L_KE_1,SKILL_MATH,PT,A,0,,76.1
2023,SE_TOT_PRFL,,,,_L_KE_1,SKILL_MATH,PT,A,0,,88.6
2015,SE_TOT_PRFL,,,,_L_KE_1,SKILL_READ,PT,A,0,,39.9
2018,SE_TOT_PRFL,,,,_L_KE_1,SKILL_READ,PT,A,0,,52.7
2023,SE_TOT_PRFL,,,,_L_KE_1,SKILL_READ,PT,A,0,,78.4
2018,SE_TOT_PRFL,,,,ISCED11_2,SKILL_MATH,PT,A,0,,6.2
2018,SE_TOT_PRFL,,,,ISCED11_2,SKILL_READ,PT,A,0,,39.9
2015,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_MATH,PT,A,0,,56.2
2016,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_MATH,PT,A,0,,45.4
2017,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_MATH,PT,A,0,,51.1
2018,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_MATH,PT,A,0,,43.1
2019,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_MATH,PT,A,0,,49.1
2020,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_MATH,PT,A,0,,54.9
2021,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_MATH,PT,A,0,,49.6
2022,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_MATH,PT,A,0,,47.5
2023,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_MATH,PT,A,0,,36.9
2014,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,47.6
2015,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,52.8
2016,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,53.0
2017,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,52.2
2018,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,52.7
2019,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,51.5
2020,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,52.8
2021,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,53.2
2022,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,53.1
2023,SE_TOT_PRFL,,,,ISCED11A_1,SKILL_READ,PT,A,0,,25.5
2017,SE_TOT_PRFL,,,R,_L_KE_1,SKILL_MATH,PT,A,0,,71.9
2018,SE_TOT_PRFL,,,R,_L_KE_1,SKILL_MATH,PT,A,0,,62.2
2019,SE_TOT_PRFL,,,R,_L_KE_1,SKILL_MATH,PT,A,0,,73.2
2017,SE_TOT_PRFL,,,U,_L_KE_1,SKILL_MATH,PT,A,0,,82.5
2018,SE_TOT_PRFL,,,U,_L_KE_1,SKILL_MATH,PT,A,0,,75.7
2019,SE_TOT_PRFL,,,U,_L_KE_1,SKILL_MATH,PT,A,0,,83.1
2015,SE_TOT_PRFL,,F,,_L_KE_1,SKILL_MATH,PT,A,0,,49.0
2017,SE_TOT_PRFL,,F,,_L_KE_1,SKILL_MATH,PT,A,0,,72.5
2018,SE_TOT_PRFL,,F,,_L_KE_1,SKILL_MATH,PT,A,0,,66.4
2019,SE_TOT_PRFL,,F,,_L_KE_1,SKILL_MATH,PT,A,0,,75.9
2023,SE_TOT_PRFL,,F,,_L_KE_1,SKILL_MATH,PT,A,0,,89.4
2015,SE_TOT_PRFL,,F,,_L_KE_1,SKILL_READ,PT,A,0,,43.4
2018,SE_TOT_PRFL,,F,,_L_KE_1,SKILL_READ,PT,A,0,,58.5
2023,SE_TOT_PRFL,,F,,_L_KE_1,SKILL_READ,PT,A,0,,81.8
2018,SE_TOT_PRFL,,F,,ISCED11_2,SKILL_MATH,PT,A,0,,4.3
2018,SE_TOT_PRFL,,F,,ISCED11_2,SKILL_READ,PT,A,0,,43.5
2017,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_MATH,PT,A,0,,49.6
2018,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_MATH,PT,A,0,,42.1
2019,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_MATH,PT,A,0,,47.7
2020,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_MATH,PT,A,0,,52.2
2023,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_MATH,PT,A,0,,37.9
2017,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_READ,PT,A,0,,47.8
2018,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_READ,PT,A,0,,54.8
2019,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_READ,PT,A,0,,53.5
2020,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_READ,PT,A,0,,53.8
2023,SE_TOT_PRFL,,F,,ISCED11A_1,SKILL_READ,PT,A,0,,27.2
2015,SE_TOT_PRFL,,M,,_L_KE_1,SKILL_MATH,PT,A,0,,45.2
2017,SE_TOT_PRFL,,M,,_L_KE_1,SKILL_MATH,PT,A,0,,69.8
2018,SE_TOT_PRFL,,M,,_L_KE_1,SKILL_MATH,PT,A,0,,67.7
2019,SE_TOT_PRFL,,M,,_L_KE_1,SKILL_MATH,PT,A,0,,76.1
2023,SE_TOT_PRFL,,M,,_L_KE_1,SKILL_MATH,PT,A,0,,87.6
2015,SE_TOT_PRFL,,M,,_L_KE_1,SKILL_READ,PT,A,0,,36.3
2018,SE_TOT_PRFL,,M,,_L_KE_1,SKILL_READ,PT,A,0,,47.4
2023,SE_TOT_PRFL,,M,,_L_KE_1,SKILL_READ,PT,A,0,,75.1
2018,SE_TOT_PRFL,,M,,ISCED11_2,SKILL_MATH,PT,A,0,,8.0
2018,SE_TOT_PRFL,,M,,ISCED11_2,SKILL_READ,PT,A,0,,36.3
2017,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_MATH,PT,A,0,,52.7
2018,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_MATH,PT,A,0,,44.1
2019,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_MATH,PT,A,0,,50.8
2020,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_MATH,PT,A,0,,57.6
2023,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_MATH,PT,A,0,,36.0
2017,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_READ,PT,A,0,,47.4
2018,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_READ,PT,A,0,,54.6
2019,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_READ,PT,A,0,,53.8
2020,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_READ,PT,A,0,,53.2
2023,SE_TOT_PRFL,,M,,ISCED11A_1,SKILL_READ,PT,A,0,,23.9
