Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SE_PRE_PARTN,,,,PT,A,0,,71.8
2015,SE_PRE_PARTN,,,,PT,A,0,,74.6
2016,SE_PRE_PARTN,,,,PT,A,0,,74.9
2017,SE_PRE_PARTN,,,,PT,A,0,,76.9
2018,SE_PRE_PARTN,,,,PT,A,0,,77.2
2019,SE_PRE_PARTN,,,,PT,A,0,,73.8
2022,SE_PRE_PARTN,,,,PT,A,0,,87.9
2024,SE_PRE_PARTN,,,,PT,A,0,,87.6
2019,SE_PRE_PARTN,,,R,PT,A,0,,70.9
2024,SE_PRE_PARTN,,,R,PT,A,0,,86.0
2019,SE_PRE_PARTN,,,U,PT,A,0,,81.9
2024,SE_PRE_PARTN,,,U,PT,A,0,,91.3
2019,SE_PRE_PARTN,,F,,PT,A,0,,73.8
2022,SE_PRE_PARTN,,F,,PT,A,0,,88.8
2024,SE_PRE_PARTN,,F,,PT,A,0,,89.2
2019,SE_PRE_PARTN,,M,,PT,A,0,,73.9
2022,SE_PRE_PARTN,,M,,PT,A,0,,86.9
2024,SE_PRE_PARTN,,M,,PT,A,0,,86.2
