Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2021,SL_DOM_TSPD,,,,,PT,,12.2
2021,SL_DOM_TSPD,,,,R,PT,,12.0
2021,SL_DOM_TSPD,,,,U,PT,,12.5
2021,SL_DOM_TSPD,,,Y15T24,,PT,,12.7
2021,SL_DOM_TSPD,,,Y25T44,,PT,,13.5
2021,SL_DOM_TSPD,,,Y45T54,,PT,,10.5
2021,SL_DOM_TSPD,,,Y55T64,,PT,,10.4
2021,SL_DOM_TSPD,,,Y_GE65,,PT,,8.5
2021,SL_DOM_TSPD,,F,,,PT,,18.7
2021,SL_DOM_TSPD,,F,,R,PT,,18.6
2021,SL_DOM_TSPD,,F,,U,PT,,18.9
2021,SL_DOM_TSPD,,F,Y15T24,,PT,,19.1
2021,SL_DOM_TSPD,,F,Y25T44,,PT,,21.0
2021,SL_DOM_TSPD,,F,Y45T54,,PT,,16.4
2021,SL_DOM_TSPD,,F,Y55T64,,PT,,15.9
2021,SL_DOM_TSPD,,F,Y_GE65,,PT,,12.0
2021,SL_DOM_TSPD,,M,,,PT,,3.6
2021,SL_DOM_TSPD,,M,,R,PT,,3.4
2021,SL_DOM_TSPD,,M,,U,PT,,4.0
2021,SL_DOM_TSPD,,M,Y15T24,,PT,,4.2
2021,SL_DOM_TSPD,,M,Y25T44,,PT,,3.4
2021,SL_DOM_TSPD,,M,Y45T54,,PT,,3.6
2021,SL_DOM_TSPD,,M,Y55T64,,PT,,3.2
2021,SL_DOM_TSPD,,M,Y_GE65,,PT,,3.3
