Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,IT_MOB_OWN,,,,PT,A,0,2019,,33.0
2016,IT_MOB_OWN,,,,PT,A,0,2019,,44.4
2019,IT_MOB_OWN,,,,PT,A,0,2019,,47.3
2016,IT_MOB_OWN,,,R,PT,A,0,2019,,36.3
2019,IT_MOB_OWN,,,R,PT,A,0,2019,,40.5
2016,IT_MOB_OWN,,,U,PT,A,0,2019,,58.7
2019,IT_MOB_OWN,,,U,PT,A,0,2019,,62.6
2014,IT_MOB_OWN,,F,,PT,A,0,2019,,30.2
2016,IT_MOB_OWN,,F,,PT,A,0,2019,,43.2
2019,IT_MOB_OWN,,F,,PT,A,0,2019,,47.0
2014,IT_MOB_OWN,,M,,PT,A,0,2019,,35.7
2016,IT_MOB_OWN,,M,,PT,A,0,2019,,45.5
2019,IT_MOB_OWN,,M,,PT,A,0,2019,,47.6
