Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,_L_KE_060101_01,,,PT,,63.0
2016,_L_KE_060101_01,,,PT,,55.9
2022,_L_KE_060101_01,,,PT,,64.3
2024,_L_KE_060101_01,,,PT,,76.6
2014,_L_KE_060101_01,,R,PT,,49.9
2016,_L_KE_060101_01,,R,PT,,51.2
2022,_L_KE_060101_01,,R,PT,,58.7
2024,_L_KE_060101_01,,R,PT,,64.1
2014,_L_KE_060101_01,,U,PT,,81.2
2016,_L_KE_060101_01,,U,PT,,61.9
2022,_L_KE_060101_01,,U,PT,,72.7
2024,_L_KE_060101_01,,U,PT,,92.4
2014,SH_H2O_SAFE,,,PT,,60.3
2016,SH_H2O_SAFE,,,PT,,52.4
2022,SH_H2O_SAFE,,,PT,,67.9
2024,SH_H2O_SAFE,,,PT,,74.7
2014,SH_H2O_SAFE,,R,PT,,48.1
2016,SH_H2O_SAFE,,R,PT,,48.6
2022,SH_H2O_SAFE,,R,PT,,56.3
2024,SH_H2O_SAFE,,R,PT,,64.4
2014,SH_H2O_SAFE,,U,PT,,78.0
2016,SH_H2O_SAFE,,U,PT,,60.0
2022,SH_H2O_SAFE,,U,PT,,90.6
2024,SH_H2O_SAFE,,U,PT,,96.5
