Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,_L_KE_060201_01,,,PT,A,0,2024,,22.7
2016,_L_KE_060201_01,,,PT,A,0,2024,,28.3
2022,_L_KE_060201_01,,,PT,A,0,2024,,38.2
2024,_L_KE_060201_01,,,PT,A,0,2024,,71.0
2014,_L_KE_060201_01,,R,PT,A,0,2024,,25.5
2016,_L_KE_060201_01,,R,PT,A,0,2024,,29.5
2022,_L_KE_060201_01,,R,PT,A,0,2024,,36.6
2024,_L_KE_060201_01,,R,PT,A,0,2024,,57.7
2014,_L_KE_060201_01,,U,PT,A,0,2024,,20.6
2016,_L_KE_060201_01,,U,PT,A,0,2024,,27.9
2022,_L_KE_060201_01,,U,PT,A,0,2024,,40.7
2024,_L_KE_060201_01,,U,PT,A,0,2024,,87.7
2014,_L_KE_060201_02,,,PT,A,0,2024,,16.6
2016,_L_KE_060201_02,,,PT,A,0,2024,,19.4
2022,_L_KE_060201_02,,,PT,A,0,2024,,51.0
2024,_L_KE_060201_02,,,PT,A,0,2024,,24.2
2014,_L_KE_060201_02,,R,PT,A,0,2024,,25.7
2016,_L_KE_060201_02,,R,PT,A,0,2024,,29.7
2022,_L_KE_060201_02,,R,PT,A,0,2024,,41.3
2024,_L_KE_060201_02,,R,PT,A,0,2024,,19.9
2014,_L_KE_060201_02,,U,PT,A,0,2024,,10.1
2016,_L_KE_060201_02,,U,PT,A,0,2024,,11.4
2022,_L_KE_060201_02,,U,PT,A,0,2024,,65.3
2024,_L_KE_060201_02,,U,PT,A,0,2024,,29.6
2016,SH_SAN_HNDWSH,,,PT,A,0,2024,,17.4
2022,SH_SAN_HNDWSH,,,PT,A,0,2024,,51.3
2024,SH_SAN_HNDWSH,,,PT,A,0,2024,,22.9
2016,SH_SAN_HNDWSH,,R,PT,A,0,2024,,29.5
2022,SH_SAN_HNDWSH,,R,PT,A,0,2024,,43.0
2024,SH_SAN_HNDWSH,,R,PT,A,0,2024,,19.5
2016,SH_SAN_HNDWSH,,U,PT,A,0,2024,,10.6
2022,SH_SAN_HNDWSH,,U,PT,A,0,2024,,67.6
2024,SH_SAN_HNDWSH,,U,PT,A,0,2024,,30.0
2014,SH_SAN_SAFE,,,PT,A,0,2024,,24.7
2016,SH_SAN_SAFE,,,PT,A,0,2024,,30.5
2022,SH_SAN_SAFE,,,PT,A,0,2024,,40.9
2024,SH_SAN_SAFE,,,PT,A,0,2024,,68.9
2014,SH_SAN_SAFE,,R,PT,A,0,2024,,30.5
2016,SH_SAN_SAFE,,R,PT,A,0,2024,,28.4
2022,SH_SAN_SAFE,,R,PT,A,0,2024,,37.7
2024,SH_SAN_SAFE,,R,PT,A,0,2024,,57.6
2014,SH_SAN_SAFE,,U,PT,A,0,2024,,21.6
2016,SH_SAN_SAFE,,U,PT,A,0,2024,,34.9
2022,SH_SAN_SAFE,,U,PT,A,0,2024,,47.3
2024,SH_SAN_SAFE,,U,PT,A,0,2024,,92.5
