Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,2.2
2015,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,4.2
2016,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,1.9
2017,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,1.5
2018,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,3.1
2019,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,2.5
2020,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,-2.8
2021,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,5.6
2022,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,3.0
2023,A,0,Economic Survey,NY_GDP_PCAP,,PT,2023,,3.7
