Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2016,SL_TLF_NEET,,,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,18.6
2019,SL_TLF_NEET,,,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,27.7
2020,SL_TLF_NEET,,,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,30.1
2021,SL_TLF_NEET,,,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,28.8
2022,SL_TLF_NEET,,,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,21.1
2019,SL_TLF_NEET,,,R,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,22.6
2020,SL_TLF_NEET,,,R,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,25.3
2021,SL_TLF_NEET,,,R,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,25.7
2022,SL_TLF_NEET,,,R,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,28.5
2019,SL_TLF_NEET,,,U,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,33.3
2020,SL_TLF_NEET,,,U,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,37.9
2021,SL_TLF_NEET,,,U,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,33.3
2022,SL_TLF_NEET,,,U,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,31.5
2019,SL_TLF_NEET,,F,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,35.4
2020,SL_TLF_NEET,,F,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,38.7
2021,SL_TLF_NEET,,F,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,41.0
2022,SL_TLF_NEET,,F,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,39.3
2019,SL_TLF_NEET,,M,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,19.0
2020,SL_TLF_NEET,,M,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,21.0
2021,SL_TLF_NEET,,M,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,14.8
2022,SL_TLF_NEET,,M,,PT,A,0,2022,Refers to 15-34 years,"2016:   KIHBS           2019:   KPHC , 2020:  KCHS, 2021 KCHS, 2022 KCHS",,18.7
