Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,COMMENT_OBS,GeoCode,Value
2014,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,-18.7
2015,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,5.4
2016,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,6.9
2017,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,9.4
2018,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,15.6
2019,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,14.3
2020,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,-47.7
2021,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,52.6
2022,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,26.8
2023,A,0,Economic Survey,_L_KE_080901_01,,PT,2023,,,33.6
2014,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,0.9
2015,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,0.9
2016,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,0.9
2017,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,1.0
2018,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,1.1
2019,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,1.2
2020,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,0.7
2021,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,1.1
2022,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,1.1
2023,A,0,Economic Survey,ST_GDP_ZS,,PT,2023,Used growth of accommodation and food services activity as a proxy,,1.3
