Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,12.4
2015,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,14.5
2016,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,13.0
2017,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,12.6
2018,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,13.2
2019,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,13.4
2020,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,15.1
2021,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,15.2
2022,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,19.4
2023,NV_IND_TECH,,PT,A,0,2023,KNBS : National Accounts,,23.7
