Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,IT_MOB_2GNTWK,,PT,,91
2016,IT_MOB_2GNTWK,,PT,,95
2017,IT_MOB_2GNTWK,,PT,,95
2018,IT_MOB_2GNTWK,,PT,,95
2019,IT_MOB_2GNTWK,,PT,,96
2020,IT_MOB_2GNTWK,,PT,,96
2021,IT_MOB_2GNTWK,,PT,,96
2022,IT_MOB_2GNTWK,,PT,,96
2023,IT_MOB_2GNTWK,,PT,,97
2024,IT_MOB_2GNTWK,,PT,,98
2014,IT_MOB_3GNTWK,,PT,,61
2016,IT_MOB_3GNTWK,,PT,,78
2017,IT_MOB_3GNTWK,,PT,,85
2018,IT_MOB_3GNTWK,,PT,,86
2019,IT_MOB_3GNTWK,,PT,,93
2020,IT_MOB_3GNTWK,,PT,,94
2021,IT_MOB_3GNTWK,,PT,,95
2022,IT_MOB_3GNTWK,,PT,,98
2023,IT_MOB_3GNTWK,,PT,,98
2024,IT_MOB_3GNTWK,,PT,,98
2017,IT_MOB_4GNTWK,,PT,,25
2018,IT_MOB_4GNTWK,,PT,,35
2019,IT_MOB_4GNTWK,,PT,,57
2020,IT_MOB_4GNTWK,,PT,,77
2021,IT_MOB_4GNTWK,,PT,,94
2022,IT_MOB_4GNTWK,,PT,,97
2023,IT_MOB_4GNTWK,,PT,,98
2024,IT_MOB_4GNTWK,,PT,,97
