Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,1,,BOOL,ER_BDY_ABT2NP
2015,1,,BOOL,ER_BDY_ABT2NP
2016,1,,BOOL,ER_BDY_ABT2NP
2017,1,,BOOL,ER_BDY_ABT2NP
2018,1,,BOOL,ER_BDY_ABT2NP
2019,1,,BOOL,ER_BDY_ABT2NP
2020,1,,BOOL,ER_BDY_ABT2NP
2021,1,,BOOL,ER_BDY_ABT2NP
2022,1,,BOOL,ER_BDY_ABT2NP
2023,1,,BOOL,ER_BDY_ABT2NP
2024,1,,BOOL,ER_BDY_ABT2NP
2014,0,,BOOL,ER_BDY_SEEA
2015,0,,BOOL,ER_BDY_SEEA
2016,0,,BOOL,ER_BDY_SEEA
2017,0,,BOOL,ER_BDY_SEEA
2018,0,,BOOL,ER_BDY_SEEA
2019,0,,BOOL,ER_BDY_SEEA
2020,0,,BOOL,ER_BDY_SEEA
2021,0,,BOOL,ER_BDY_SEEA
2022,0,,BOOL,ER_BDY_SEEA
2023,0,,BOOL,ER_BDY_SEEA
2024,0,,BOOL,ER_BDY_SEEA
