Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,91,,PT,IT_MOB_2GNTWK
2016,95,,PT,IT_MOB_2GNTWK
2017,95,,PT,IT_MOB_2GNTWK
2018,95,,PT,IT_MOB_2GNTWK
2019,96,,PT,IT_MOB_2GNTWK
2020,96,,PT,IT_MOB_2GNTWK
2021,96,,PT,IT_MOB_2GNTWK
2022,96,,PT,IT_MOB_2GNTWK
2023,97,,PT,IT_MOB_2GNTWK
2024,98,,PT,IT_MOB_2GNTWK
2014,61,,PT,IT_MOB_3GNTWK
2016,78,,PT,IT_MOB_3GNTWK
2017,85,,PT,IT_MOB_3GNTWK
2018,86,,PT,IT_MOB_3GNTWK
2019,93,,PT,IT_MOB_3GNTWK
2020,94,,PT,IT_MOB_3GNTWK
2021,95,,PT,IT_MOB_3GNTWK
2022,98,,PT,IT_MOB_3GNTWK
2023,98,,PT,IT_MOB_3GNTWK
2024,98,,PT,IT_MOB_3GNTWK
2017,25,,PT,IT_MOB_4GNTWK
2018,35,,PT,IT_MOB_4GNTWK
2019,57,,PT,IT_MOB_4GNTWK
2020,77,,PT,IT_MOB_4GNTWK
2021,94,,PT,IT_MOB_4GNTWK
2022,97,,PT,IT_MOB_4GNTWK
2023,98,,PT,IT_MOB_4GNTWK
2024,97,,PT,IT_MOB_4GNTWK
