Value,Disaggregation combinations using this value,Number of indicators
Annual broad money growth (%) [17.13.1],1,1
Annual GDP growth (%) [17.13.1],1,1
Annual growth of exports of goods and services (%) [17.13.1],1,1
Annual growth of households and NPISHs final consumption expenditure [17.13.1],1,1
Annual growth of imports of goods and services (%) [17.13.1],1,1
Annual growth of the general government final consumption expenditure (%) [17.13.1],1,1
Annual growth of the gross capital formation (%) [17.13.1],1,1
"Annual inflation, consumer prices (%) [17.13.1]",1,1
Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],1,1
Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],1,1
Bank capital to assets ratio (%) [17.13.1],1,1
Bank nonperforming loans to total gross loans (%),1,1
Broad money to total reserves ratio [17.13.1],1,1
Change in GINI,1,1
Commodity Prices (Export/import),1,1
Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],1,1
Current account balance as a proportion of GDP (%) [17.13.1],1,1
"Debt service on external debt, total (% exports and primary income)",1,1
External debt stocks as a proportion of GNI (%) [17.13.1],1,1
"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",1,1
"Freight volumes, by mode of transport (000 Passenger)",4,1
Government revenue from domestic taxes as a proportion of GDP,1,1
Government revenue from grants as a proportion of GDP,1,1
Government revenue from  other sources as a proportion of GDP,1,1
Government revenue from social contributions as a proportion of GDP,1,1
"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",1,1
Manufacturing value added as a proportion of GDP [9.2.1],1,1
Manufacturing value added per capita [9.2.1],1,1
Net open position in foreign exchange to capital (%) [10.5.1],1,1
Non-performing loans net of provisions to capital (%) [10.5.1],1,1
Non-performing loans to total gross loans (%) [10.5.1],1,1
"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1,1
"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists",1,1
"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]",1,1
"Number of cases of kidnappings of human rights defenders, journalists and trade unionists",1,1
"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]",1,1
"Number of cases of torture of human rights defenders, journalists and trade unionists",1,1
"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists",1,1
Number of children engaged in economic activity and household chores [8.7.1],5,1
"Number of commercial bank branches per 100,000 adults [8.10.1]",1,1
